"name","link","rank","draft_year","draft_rd","draft_pk","recruit_year","top","highSchool","coll","draft","rookie","success","highest"
"Antonio Latimer","",32,NA,NA,NA,1998,1,0,NA,NA,NA,NA,"highSchool"
"Cedric Taylor","",67,NA,NA,NA,1998,1,0,NA,NA,NA,NA,"highSchool"
"Scott Clark","",74,NA,NA,NA,1998,1,0,NA,NA,NA,NA,"highSchool"
"Steve Bynes","",82,NA,NA,NA,1998,1,0,NA,NA,NA,NA,"highSchool"
"Derrick Payne","",43,NA,NA,NA,1999,1,0,NA,NA,NA,NA,"highSchool"
"Carlton Baker","",82,NA,NA,NA,1999,1,0,NA,NA,NA,NA,"highSchool"
"John Stewart","",87,NA,NA,NA,1999,1,0,NA,NA,NA,NA,"highSchool"
"Jerome Harper","",13,NA,NA,NA,2000,1,0,NA,NA,NA,NA,"highSchool"
"Omar Weaver","",64,NA,NA,NA,2000,1,0,NA,NA,NA,NA,"highSchool"
"Antonio Hargrove","",84,NA,NA,NA,2000,1,0,NA,NA,NA,NA,"highSchool"
"Ousmane Cisse","",5,NA,NA,NA,2001,1,0,NA,NA,NA,NA,"highSchool"
"Tony Key","",55,NA,NA,NA,2001,1,0,NA,NA,NA,NA,"highSchool"
"Marcus Spears","",72,NA,NA,NA,2001,1,0,NA,NA,NA,NA,"highSchool"
"Anthony Vasser","",72,NA,NA,NA,2001,1,0,NA,NA,NA,NA,"highSchool"
"Terry Licorish","",96,NA,NA,NA,2001,1,0,NA,NA,NA,NA,"highSchool"
"DeAngelo Collins","",10,NA,NA,NA,2002,1,0,NA,NA,NA,NA,"highSchool"
"Sani Ibrahim","",23,NA,NA,NA,2002,1,0,NA,NA,NA,NA,"highSchool"
"Lenny Cooke","",25,NA,NA,NA,2002,1,0,NA,NA,NA,NA,"highSchool"
"Julius Lamptey","",62,NA,NA,NA,2002,1,0,NA,NA,NA,NA,"highSchool"
"Josh Rhodes","",88,NA,NA,NA,2002,1,0,NA,NA,NA,NA,"highSchool"
"Jackie Butler","/players/b/butleja01.html",30,NA,NA,NA,2003,1,0,NA,NA,NA,NA,"highSchool"
"Vincent Banks","",80,NA,NA,NA,2003,1,0,NA,NA,NA,NA,"highSchool"
"Jackie Butler","/players/b/butleja01.html",100,NA,NA,NA,2004,1,0,NA,NA,NA,NA,"highSchool"
"Keith Brumbaugh","",11,NA,NA,NA,2005,1,0,NA,NA,NA,NA,"highSchool"
"Theo Davis","https://www.sports-reference.com/cbb/players/theo-davis-1.html",36,NA,NA,NA,2005,1,0,NA,NA,NA,NA,"highSchool"
"Ricky Sanchez","",73,NA,NA,NA,2005,1,0,NA,NA,NA,NA,"highSchool"
"Danny Williams","",75,NA,NA,NA,2005,1,0,NA,NA,NA,NA,"highSchool"
"Alex Stepheson","/players/s/stephal01.html",39,NA,NA,NA,2006,1,0,NA,NA,NA,NA,"highSchool"
"Leon Freeman","",81,NA,NA,NA,2006,1,0,NA,NA,NA,NA,"highSchool"
"Dominique Sutton","https://www.sports-reference.com/cbb/players/dominique-sutton-1.html",78,NA,NA,NA,2007,1,0,NA,NA,NA,NA,"highSchool"
"Mike Holmes","https://www.sports-reference.com/cbb/players/mike-holmes-1.html",96,NA,NA,NA,2007,1,0,NA,NA,NA,NA,"highSchool"
"Rashanti Harris","",27,NA,NA,NA,2008,1,0,NA,NA,NA,NA,"highSchool"
"Terrelle Pryor","",53,NA,NA,NA,2008,1,0,NA,NA,NA,NA,"highSchool"
"Nate Miles","",91,NA,NA,NA,2008,1,0,NA,NA,NA,NA,"highSchool"
"Roscoe Davis","",99,NA,NA,NA,2008,1,0,NA,NA,NA,NA,"highSchool"
"Karron Johnson","",63,NA,NA,NA,2009,1,0,NA,NA,NA,NA,"highSchool"
"Rashanti Harris","",95,NA,NA,NA,2009,1,0,NA,NA,NA,NA,"highSchool"
"Luke Cothron","",45,NA,NA,NA,2010,1,0,NA,NA,NA,NA,"highSchool"
"Noah Cottrill","",68,NA,NA,NA,2010,1,0,NA,NA,NA,NA,"highSchool"
"Jamail Jones","https://www.sports-reference.com/cbb/players/jamail-jones-1.html",74,NA,NA,NA,2010,1,0,NA,NA,NA,NA,"highSchool"
"Norvel Pelle","/players/p/pelleno01.html",51,NA,NA,NA,2011,1,0,NA,NA,NA,NA,"highSchool"
"Anthony January","",94,NA,NA,NA,2012,1,0,NA,NA,NA,NA,"highSchool"
"Brandon Austin","/players/a/austibr02.html",48,NA,NA,NA,2013,1,0,NA,NA,NA,NA,"highSchool"
"Aquille Carr","",85,NA,NA,NA,2013,1,0,NA,NA,NA,NA,"highSchool"
"Anthony January","",95,NA,NA,NA,2013,1,0,NA,NA,NA,NA,"highSchool"
