name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Lg,Salary,Age,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team,PER_rank,WS_rank,WS/48_rank,BPM_rank,VORP_rank,PIPM_rank,Wins Added_rank
Alex Acker,/players/a/ackeral01.html,2006,2009,Pepperdine University,false,"Eisenhower in Rialto, California",-2.47,-0.01,ackeral01,2005-06,DET,-2.4,-0.2,-0.230,-12.3,-0.1,,NBA,398762,23,5,7.0,.250,,1.0,0.8,0.2,0.0,1.8,DET,181,181,181,181,181,181,181
Alex Acker,/players/a/ackeral01.html,2006,2009,Pepperdine University,false,"Eisenhower in Rialto, California",,,ackeral01,2006-07,Did Not Play (other pro league—Greece),,,,,,,NBA,839209,24,,,,,,,,,,Did Not Play (other pro league—Greece),193,193,193,193,193,193,193
Alex Acker,/players/a/ackeral01.html,2006,2009,Pepperdine University,false,"Eisenhower in Rialto, California",,,ackeral01,2007-08,Did Not Play (other pro league—Spain),,,,,,,,,25,,,,,,,,,,Did Not Play (other pro league—Spain),193,193,193,193,193,193,193
Alex Acker,/players/a/ackeral01.html,2006,2009,Pepperdine University,false,"Eisenhower in Rialto, California",-0.64,0.22,ackeral01,2008-09,TOT,10.4,0.0,-0.011,-6.0,-0.2,,NBA,711517,26,25,8.0,.395,.500,1.0,0.5,0.2,0.2,2.9,"DET,LAC",182,182,182,182,182,182,182
Quincy Acy,/players/a/acyqu01.html,2013,2018,Baylor University,true,"Mesquite Horn in Mesquite, Texas",+1.37,0.85,acyqu01,2012-13,TOR,15.9,1.1,.157,0.7,0.2,,NBA,665000,22,29,11.8,.560,.816,2.7,0.4,0.4,0.5,4.0,TOR,185,185,185,185,185,185,185
Quincy Acy,/players/a/acyqu01.html,2013,2018,Baylor University,true,"Mesquite Horn in Mesquite, Texas",-2.76,-0.25,acyqu01,2013-14,TOT,10.1,1.5,.086,-1.1,0.2,,NBA,788872,23,63,13.4,.468,.660,3.4,0.4,0.4,0.4,2.7,"TOR,SAC",187,187,187,187,187,187,187
Quincy Acy,/players/a/acyqu01.html,2013,2018,Baylor University,true,"Mesquite Horn in Mesquite, Texas",-1.48,0.62,acyqu01,2014-15,NYK,11.9,1.7,.063,-3.1,-0.3,,NBA,915243,24,68,18.9,.459,.784,4.4,1.0,0.4,0.3,5.9,NYK,183,183,183,183,183,183,183
Quincy Acy,/players/a/acyqu01.html,2013,2018,Baylor University,true,"Mesquite Horn in Mesquite, Texas",-1.59,0.38,acyqu01,2015-16,SAC,14.7,2.5,.137,0.2,0.5,,NBA,981348,25,59,14.8,.556,.735,3.2,0.5,0.5,0.4,5.2,SAC,183,183,183,183,183,183,183
Quincy Acy,/players/a/acyqu01.html,2013,2018,Baylor University,true,"Mesquite Horn in Mesquite, Texas",-0.95,0.50,acyqu01,2016-17,TOT,11.8,0.9,.082,-3.0,-0.1,,NBA,1914544,26,38,14.7,.412,.750,3.0,0.5,0.4,0.4,5.8,"DAL,BRK",187,187,187,187,187,187,187
Quincy Acy,/players/a/acyqu01.html,2013,2018,Baylor University,true,"Mesquite Horn in Mesquite, Texas",-0.73,1.43,acyqu01,2017-18,BRK,8.2,1.0,.036,-2.2,-0.1,,NBA,1709538,27,70,19.4,.356,.817,3.7,0.8,0.5,0.4,5.9,BRK,189,189,189,189,189,189,189
Hassan Adams,/players/a/adamsha01.html,2007,2009,University of Arizona,false,"Westchester in Los Angeles, California",-2.13,0.03,adamsha01,2006-07,NJN,13.0,1.0,.095,-3.6,-0.2,,NBA,412718,22,61,8.1,.556,.667,1.3,0.2,0.3,0.1,2.9,NJN,193,193,193,193,193,193,193
Hassan Adams,/players/a/adamsha01.html,2007,2009,University of Arizona,false,"Westchester in Los Angeles, California",,,adamsha01,2007-08,Did Not Play (other pro league—Italy),,,,,,,,,23,,,,,,,,,,Did Not Play (other pro league—Italy),193,193,193,193,193,193,193
Hassan Adams,/players/a/adamsha01.html,2007,2009,University of Arizona,false,"Westchester in Los Angeles, California",-0.31,0.07,adamsha01,2008-09,TOR,0.4,-0.2,-0.144,-12.0,-0.1,,NBA,297163,24,12,4.3,.308,.500,0.6,0.1,0.1,0.1,0.9,TOR,182,182,182,182,182,182,182
Jordan Adams,/players/a/adamsjo01.html,2015,2016,"University of California, Los Angeles",true,"Oak Hill Academy in Mouth of Wilson, Virginia",+0.06,0.41,adamsjo01,2014-15,MEM,12.8,0.4,.073,-0.6,0.1,,NBA,1344120,20,30,8.3,.407,.609,0.9,0.5,0.5,0.2,3.1,MEM,183,183,183,183,183,183,183
