name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Lg,Salary,Age,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team,PER_rank,WS_rank,WS/48_rank,BPM_rank,VORP_rank,PIPM_rank,Wins Added_rank
Jordan Adams,/players/a/adamsjo01.html,2015,2016,"University of California, Los Angeles",true,"Oak Hill Academy in Mouth of Wilson, Virginia",-0.21,0.02,adamsjo01,2015-16,MEM,17.3,0.0,.015,1.9,0.0,,NBA,1404600,21,2,7.5,.333,.600,1.0,1.5,1.5,0.0,3.5,MEM,183,183,183,183,183,183,183
Steven Adams,/players/a/adamsst01.html,2014,2019,University of Pittsburgh,true,"Notre Dame Preparatory School in Fitchburg, Massachusetts",-1.26,1.06,adamsst01,2013-14,OKC,11.2,2.9,.114,0.3,0.7,,NBA,2090880,20,81,14.8,.503,.581,4.1,0.5,0.5,0.7,3.3,OKC,187,187,187,187,187,187,187
Steven Adams,/players/a/adamsst01.html,2014,2019,University of Pittsburgh,true,"Notre Dame Preparatory School in Fitchburg, Massachusetts",+0.70,3.59,adamsst01,2014-15,OKC,14.1,4.1,.111,0.4,1.1,,NBA,2184960,21,70,25.3,.544,.502,7.5,0.9,0.5,1.2,7.7,OKC,115,94,83,91,96,75,86
Steven Adams,/players/a/adamsst01.html,2014,2019,University of Pittsburgh,true,"Notre Dame Preparatory School in Fitchburg, Massachusetts",+2.45,8.20,adamsst01,2015-16,OKC,15.5,6.5,.155,2.1,2.1,,NBA,2279040,22,80,25.2,.613,.582,6.7,0.8,0.5,1.1,8.0,OKC,91,43,39,40,49,26,24
Steven Adams,/players/a/adamsst01.html,2014,2019,University of Pittsburgh,true,"Notre Dame Preparatory School in Fitchburg, Massachusetts",+2.15,7.58,adamsst01,2016-17,OKC,16.5,6.5,.130,0.6,1.5,,NBA,3140517,23,80,29.9,.571,.611,7.7,1.1,1.1,1.0,11.3,OKC,65,46,56,81,67,37,33
Steven Adams,/players/a/adamsst01.html,2014,2019,University of Pittsburgh,true,"Notre Dame Preparatory School in Fitchburg, Massachusetts",+1.93,7.58,adamsst01,2017-18,OKC,20.6,9.7,.187,3.3,3.3,,NBA,22471910,24,76,32.7,.629,.559,9.0,1.2,1.2,1.0,13.9,OKC,25,14,20,23,20,44,37
Bam Adebayo,/players/a/adebaba01.html,2018,2019,University of Kentucky,true,"High Point Christian Academy in High Point, North Carolina",-0.51,1.72,adebaba01,2017-18,MIA,15.7,4.2,.148,0.2,0.8,,NBA,2490360,20,69,19.8,.512,.721,5.5,1.5,0.5,0.6,6.9,MIA,189,189,189,189,189,189,189
Jeff Adrien,/players/a/adrieje01.html,2011,2015,University of Connecticut,false,"Brewster Academy in Wolfeboro, New Hampshire",-0.50,0.24,adrieje01,2010-11,GSW,11.3,0.2,.051,-5.1,-0.2,,NBA,342666,24,23,8.5,.426,.579,2.5,0.4,0.2,0.2,2.5,GSW,196,196,196,196,196,196,196
Jeff Adrien,/players/a/adrieje01.html,2011,2015,University of Connecticut,false,"Brewster Academy in Wolfeboro, New Hampshire",-0.18,0.09,adrieje01,2011-12,HOU,11.2,0.1,.106,-7.7,-0.1,,NBA,270427,25,8,7.9,.438,.583,2.8,0.1,0.0,0.3,2.6,HOU,192,192,192,192,192,192,192
Jeff Adrien,/players/a/adrieje01.html,2011,2015,University of Connecticut,false,"Brewster Academy in Wolfeboro, New Hampshire",-1.04,0.59,adrieje01,2012-13,CHA,13.4,1.0,.064,-3.3,-0.2,,NBA,804131,26,52,13.7,.429,.650,3.8,0.7,0.3,0.5,4.0,CHA,185,185,185,185,185,185,185
Jeff Adrien,/players/a/adrieje01.html,2011,2015,University of Connecticut,false,"Brewster Academy in Wolfeboro, New Hampshire",-0.23,1.34,adrieje01,2013-14,TOT,17.4,2.7,.134,-1.1,0.2,,NBA,916099,27,53,18.1,.520,.639,5.8,0.7,0.5,0.7,6.8,"CHA,MIL",187,187,187,187,187,187,187
Jeff Adrien,/players/a/adrieje01.html,2011,2015,University of Connecticut,false,"Brewster Academy in Wolfeboro, New Hampshire",+0.01,0.33,adrieje01,2014-15,MIN,14.2,0.4,.087,-2.2,0.0,,NBA,981084,28,17,12.6,.432,.579,4.5,0.9,0.2,0.5,3.5,MIN,183,183,183,183,183,183,183
Arron Afflalo,/players/a/afflaar01.html,2008,2018,"University of California, Los Angeles",true,"Centennial in Compton, California",-1.11,0.82,afflaar01,2007-08,DET,10.2,1.9,.092,-1.6,0.1,,NBA,944520,22,75,12.9,.411,.782,1.8,0.7,0.4,0.1,3.7,DET,193,193,193,193,193,193,193
Arron Afflalo,/players/a/afflaar01.html,2008,2018,"University of California, Los Angeles",true,"Centennial in Compton, California",-0.93,1.19,afflaar01,2008-09,DET,8.9,1.8,.069,-2.4,-0.1,,NBA,1015440,23,74,16.7,.437,.817,1.8,0.6,0.4,0.2,4.9,DET,182,182,182,182,182,182,182
Arron Afflalo,/players/a/afflaar01.html,2008,2018,"University of California, Los Angeles",true,"Centennial in Compton, California",-1.07,1.95,afflaar01,2009-10,DEN,10.9,4.3,.092,0.3,1.3,,NBA,1086240,24,82,27.1,.465,.735,3.1,1.7,0.6,0.4,8.8,DEN,177,111,124,96,96,143,132
Arron Afflalo,/players/a/afflaar01.html,2008,2018,"University of California, Los Angeles",true,"Centennial in Compton, California",-0.03,3.67,afflaar01,2010-11,DEN,13.6,6.2,.128,2.1,2.4,,NBA,1959577,25,69,33.7,.498,.847,3.6,2.4,0.5,0.4,12.6,DEN,136,62,63,47,46,102,93
Arron Afflalo,/players/a/afflaar01.html,2008,2018,"University of California, Los Angeles",true,"Centennial in Compton, California",-0.46,2.83,afflaar01,2011-12,DEN,14.7,5.3,.121,0.8,1.5,,NBA,7562500,26,62,33.6,.471,.798,3.2,2.4,0.6,0.2,15.2,DEN,108,51,80,92,68,112,94
Arron Afflalo,/players/a/afflaar01.html,2008,2018,"University of California, Los Angeles",true,"Centennial in Compton, California",-1.99,0.42,afflaar01,2012-13,ORL,13.0,2.0,.042,-2.3,-0.2,,NBA,7750000,27,64,36.0,.439,.857,3.7,3.2,0.6,0.2,16.5,ORL,140,167,172,169,170,161,161
Arron Afflalo,/players/a/afflaar01.html,2008,2018,"University of California, Los Angeles",true,"Centennial in Compton, California",-2.08,0.27,afflaar01,2013-14,ORL,16.0,5.3,.099,-0.6,0.9,,NBA,7312500,28,73,35.0,.459,.815,3.6,3.4,0.5,0.0,18.2,ORL,77,75,104,127,113,159,159
Arron Afflalo,/players/a/afflaar01.html,2008,2018,"University of California, Los Angeles",true,"Centennial in Compton, California",-2.26,0.02,afflaar01,2014-15,TOT,10.7,2.6,.050,-1.8,0.1,,NBA,7750000,29,78,32.1,.424,.843,3.2,1.7,0.5,0.1,13.3,"DEN,POR",166,141,158,158,156,163,163
Arron Afflalo,/players/a/afflaar01.html,2008,2018,"University of California, Los Angeles",true,"Centennial in Compton, California",-2.61,-0.53,afflaar01,2015-16,NYK,10.9,2.7,.055,-2.4,-0.2,,NBA,8000000,30,71,33.4,.443,.840,3.7,2.0,0.4,0.1,12.8,NYK,163,143,153,162,162,163,164
Arron Afflalo,/players/a/afflaar01.html,2008,2018,"University of California, Los Angeles",true,"Centennial in Compton, California",-3.67,-1.34,afflaar01,2016-17,SAC,8.9,1.4,.043,-3.5,-0.6,,NBA,12500000,31,61,25.9,.440,.892,2.0,1.3,0.3,0.1,8.4,SAC,180,170,168,178,176,179,178
Arron Afflalo,/players/a/afflaar01.html,2008,2018,"University of California, Los Angeles",true,"Centennial in Compton, California",-3.40,-0.50,afflaar01,2017-18,ORL,5.8,0.1,.009,-5.8,-0.7,,NBA,1500000,32,53,12.9,.401,.846,1.2,0.6,0.1,0.2,3.4,ORL,189,189,189,189,189,189,189
Maurice Ager,/players/a/agerma01.html,2007,2011,Michigan State University,false,"Crocket in Detroit, Michigan",-3.44,-0.22,agerma01,2006-07,DAL,2.9,-0.3,-0.060,-9.3,-0.4,,NBA,906480,22,32,6.7,.314,.606,0.7,0.2,0.1,0.1,2.2,DAL,193,193,193,193,193,193,193
Maurice Ager,/players/a/agerma01.html,2007,2011,Michigan State University,false,"Crocket in Detroit, Michigan",-1.80,0.05,agerma01,2007-08,TOT,1.8,-0.4,-0.114,-11.3,-0.4,,NBA,974400,23,26,6.3,.323,.500,0.5,0.3,0.0,0.0,2.0,"DAL,NJN",193,193,193,193,193,193,193
Maurice Ager,/players/a/agerma01.html,2007,2011,Michigan State University,false,"Crocket in Detroit, Michigan",-0.60,0.11,agerma01,2008-09,NJN,2.2,-0.3,-0.133,-12.8,-0.3,,NBA,1042440,24,20,4.9,.349,.500,0.5,0.2,0.1,0.1,1.7,NJN,182,182,182,182,182,182,182
Maurice Ager,/players/a/agerma01.html,2007,2011,Michigan State University,false,"Crocket in Detroit, Michigan",,,agerma01,2009-10,"Did Not Play (other pro league—Spain, D-League)",,,,,,,,,25,,,,,,,,,,"Did Not Play (other pro league—Spain, D-League)",193,193,193,193,193,193,193
Maurice Ager,/players/a/agerma01.html,2007,2011,Michigan State University,false,"Crocket in Detroit, Michigan",-0.23,0.04,agerma01,2010-11,MIN,10.1,0.0,-0.015,-6.3,0.0,,NBA,83305,26,4,7.3,.545,,0.5,0.3,0.3,0.0,3.8,MIN,196,196,196,196,196,196,196
Blake Ahearn,/players/a/ahearbl01.html,2008,2012,Missouri State University,false,"De Smet Jesuit in Creve Coeur, Missouri",-2.01,0.02,ahearbl01,2007-08,MIA,9.0,0.0,-0.006,-5.6,-0.2,,23,NBA,12,14.8,.263,.968,1.6,1.6,0.5,0.0,5.8,MIA,,193,193,193,193,193,193,193
Blake Ahearn,/players/a/ahearbl01.html,2008,2012,Missouri State University,false,"De Smet Jesuit in Creve Coeur, Missouri",+0.60,0.04,ahearbl01,2008-09,SAS,12.9,0.1,.149,-1.1,0.0,,24,NBA,3,6.3,.333,1.000,0.3,0.7,0.3,0.0,2.7,SAS,125562,182,182,182,182,182,182,182
Blake Ahearn,/players/a/ahearbl01.html,2008,2012,Missouri State University,false,"De Smet Jesuit in Creve Coeur, Missouri",,,ahearbl01,2009-10,"Did Not Play (other pro league—D-League, Italy)",,,,,,,25,,,,,,,,,,,"Did Not Play (other pro league—D-League, Italy)",,193,193,193,193,193,193,193
Blake Ahearn,/players/a/ahearbl01.html,2008,2012,Missouri State University,false,"De Smet Jesuit in Creve Coeur, Missouri",,,ahearbl01,2010-11,Did Not Play (other pro league—D-League),,,,,,,26,,,,,,,,,,,Did Not Play (other pro league—D-League),,196,196,196,196,196,196,196
Blake Ahearn,/players/a/ahearbl01.html,2008,2012,Missouri State University,false,"De Smet Jesuit in Creve Coeur, Missouri",-0.12,0.06,ahearbl01,2011-12,UTA,-7.3,-0.2,-0.315,-16.3,-0.1,,27,NBA,4,7.5,.286,,0.5,0.3,0.0,0.0,2.5,UTA,,192,192,192,192,192,192,192
Josh Akognon,/players/a/akognjo01.html,2013,2013,"Washington State University, California State University, Fullerton",false,"Casa Grande in Petaluma, California",+0.13,0.01,akognjo01,2012-13,DAL,15.3,0.0,.196,-0.2,0.0,,26,NBA,3,3.0,.500,,0.3,0.3,0.0,0.0,1.7,DAL,,185,185,185,185,185,185,185
Solomon Alabi,/players/a/alabiso01.html,2011,2012,Florida State University,false,"Montverde Academy in Montverde, Florida",-0.07,0.09,alabiso01,2010-11,TOR,2.0,-0.2,-0.142,-8.2,-0.1,,NBA,770000,22,12,4.9,.200,.000,1.2,0.2,0.2,0.2,0.5,TOR,196,196,196,196,196,196,196
Solomon Alabi,/players/a/alabiso01.html,2011,2012,Florida State University,false,"Montverde Academy in Montverde, Florida",+0.38,0.22,alabiso01,2011-12,TOR,14.2,0.2,.083,-4.1,-0.1,,NBA,830000,23,14,8.7,.361,.875,3.4,0.2,0.1,0.6,2.4,TOR,192,192,192,192,192,192,192
Cole Aldrich,/players/a/aldrico01.html,2011,2018,University of Kansas,true,"Thomas Jefferson in Bloomington, Minnesota",-0.58,0.16,aldrico01,2010-11,OKC,7.0,0.2,.066,-0.8,0.0,,NBA,2126520,22,18,7.9,.533,.500,1.9,0.2,0.3,0.4,1.0,OKC,196,196,196,196,196,196,196
Cole Aldrich,/players/a/aldrico01.html,2011,2018,University of Kansas,true,"Thomas Jefferson in Bloomington, Minnesota",-1.08,0.15,aldrico01,2011-12,OKC,17.7,0.6,.176,0.3,0.1,,NBA,2286000,23,26,6.7,.524,.929,1.8,0.1,0.3,0.6,2.2,OKC,192,192,192,192,192,192,192
Cole Aldrich,/players/a/aldrico01.html,2011,2018,University of Kansas,true,"Thomas Jefferson in Bloomington, Minnesota",-0.92,0.36,aldrico01,2012-13,TOT,11.1,0.6,.070,-4.0,-0.2,,NBA,2445480,24,45,8.6,.550,.600,2.7,0.2,0.1,0.5,2.2,"HOU,SAC",185,185,185,185,185,185,185
Cole Aldrich,/players/a/aldrico01.html,2011,2018,University of Kansas,true,"Thomas Jefferson in Bloomington, Minnesota",+0.92,0.72,aldrico01,2013-14,NYK,19.1,1.2,.178,1.2,0.3,,NBA,,25,46,7.2,.541,.867,2.8,0.3,0.2,0.7,2.0,NYK,187,187,187,187,187,187,187
Cole Aldrich,/players/a/aldrico01.html,2011,2018,University of Kansas,true,"Thomas Jefferson in Bloomington, Minnesota",-1.60,0.39,aldrico01,2014-15,NYK,18.1,2.2,.107,0.9,0.7,,NBA,981084,26,61,16.0,.478,.781,5.5,1.2,0.6,1.1,5.5,NYK,183,183,183,183,183,183,183
Cole Aldrich,/players/a/aldrico01.html,2011,2018,University of Kansas,true,"Thomas Jefferson in Bloomington, Minnesota",+0.01,1.36,aldrico01,2015-16,LAC,21.3,3.5,.209,4.8,1.4,,NBA,1100600,27,60,13.3,.596,.714,4.8,0.8,0.8,1.1,5.5,LAC,183,183,183,183,183,183,183
Cole Aldrich,/players/a/aldrico01.html,2011,2018,University of Kansas,true,"Thomas Jefferson in Bloomington, Minnesota",-0.31,0.71,aldrico01,2016-17,MIN,12.7,1.3,.116,0.6,0.4,,NBA,7643979,28,62,8.6,.523,.682,2.5,0.4,0.4,0.4,1.7,MIN,187,187,187,187,187,187,187
Cole Aldrich,/players/a/aldrico01.html,2011,2018,University of Kansas,true,"Thomas Jefferson in Bloomington, Minnesota",-1.53,0.03,aldrico01,2017-18,MIN,6.0,0.0,-0.013,-6.9,-0.1,,NBA,7300000,29,21,2.3,.333,.333,0.7,0.1,0.1,0.0,0.6,MIN,189,189,189,189,189,189,189
LaMarcus Aldridge,/players/a/aldrila01.html,2007,2019,University of Texas at Austin,true,"Seagoville in Seagoville, Texas",+0.61,2.73,aldrila01,2006-07,POR,17.1,3.4,.118,-0.9,0.4,,NBA,4027320,21,63,22.1,.503,.722,5.0,0.4,0.3,1.2,9.0,POR,193,193,193,193,193,193,193
LaMarcus Aldridge,/players/a/aldrila01.html,2007,2019,University of Texas at Austin,true,"Seagoville in Seagoville, Texas",+1.41,6.59,aldrila01,2007-08,POR,18.5,6.2,.113,0.8,1.8,,NBA,4329360,22,76,34.9,.484,.762,7.6,1.6,0.7,1.2,17.8,POR,39,65,86,84,74,51,54
LaMarcus Aldridge,/players/a/aldrila01.html,2007,2019,University of Texas at Austin,true,"Seagoville in Seagoville, Texas",+3.76,12.88,aldrila01,2008-09,POR,19.1,9.5,.151,1.9,3.0,,NBA,4631400,23,81,37.1,.484,.781,7.5,1.9,1.0,1.0,18.1,POR,27,16,34,46,24,14,15
LaMarcus Aldridge,/players/a/aldrila01.html,2007,2019,University of Texas at Austin,true,"Seagoville in Seagoville, Texas",+1.81,8.63,aldrila01,2009-10,POR,18.2,8.8,.145,1.6,2.6,,NBA,5844827,24,78,37.5,.495,.757,8.0,2.1,0.9,0.6,17.9,POR,39,24,42,52,41,38,26
LaMarcus Aldridge,/players/a/aldrila01.html,2007,2019,University of Texas at Austin,true,"Seagoville in Seagoville, Texas",+3.08,12.43,aldrila01,2010-11,POR,21.5,11.1,.166,2.4,3.5,All-NBA (3rd),NBA,11244000,25,81,39.6,.500,.791,8.8,2.1,1.0,1.2,21.8,POR,17,9,23,37,19,15,13
LaMarcus Aldridge,/players/a/aldrila01.html,2007,2019,University of Texas at Austin,true,"Seagoville in Seagoville, Texas",+2.83,6.95,aldrila01,2011-12,POR,22.7,7.0,.169,2.4,2.2,,NBA,12372000,26,55,36.3,.512,.814,8.0,2.4,0.9,0.8,21.7,POR,11,22,27,38,32,23,33
LaMarcus Aldridge,/players/a/aldrila01.html,2007,2019,University of Texas at Austin,true,"Seagoville in Seagoville, Texas",+2.18,8.42,aldrila01,2012-13,POR,20.4,7.2,.124,0.8,2.0,,NBA,13500000,27,74,37.7,.484,.810,9.1,2.6,0.8,1.2,21.1,POR,18,35,72,91,60,37,34
LaMarcus Aldridge,/players/a/aldrila01.html,2007,2019,University of Texas at Austin,true,"Seagoville in Seagoville, Texas",+3.07,10.49,aldrila01,2013-14,POR,21.8,7.5,.144,0.3,1.5,All-NBA (3rd),NBA,14128000,28,69,36.2,.458,.822,11.1,2.6,0.9,1.0,23.2,POR,14,36,39,93,83,25,24
LaMarcus Aldridge,/players/a/aldrila01.html,2007,2019,University of Texas at Austin,true,"Seagoville in Seagoville, Texas",+2.61,8.99,aldrila01,2014-15,POR,22.8,8.6,.165,0.3,1.4,All-NBA (2nd),NBA,16006000,29,71,35.4,.466,.845,10.2,1.7,0.7,1.0,23.4,POR,7,20,26,93,78,27,25
LaMarcus Aldridge,/players/a/aldrila01.html,2007,2019,University of Texas at Austin,true,"Seagoville in Seagoville, Texas",+2.73,8.89,aldrila01,2015-16,SAS,22.4,10.1,.215,1.8,2.2,All-NBA (3rd),NBA,19500000,30,74,30.6,.513,.858,8.5,1.5,0.5,1.1,18.0,SAS,13,11,8,46,45,24,20
LaMarcus Aldridge,/players/a/aldrila01.html,2007,2019,University of Texas at Austin,true,"Seagoville in Seagoville, Texas",-0.10,4.24,aldrila01,2016-17,SAS,18.6,7.2,.149,1.0,1.8,,NBA,20575005,31,72,32.4,.477,.812,7.3,1.9,0.6,1.2,17.3,SAS,46,37,37,60,57,97,78
LaMarcus Aldridge,/players/a/aldrila01.html,2007,2019,University of Texas at Austin,true,"Seagoville in Seagoville, Texas",+3.54,10.48,aldrila01,2017-18,SAS,25.0,10.9,.209,3.3,3.3,All-NBA (2nd),NBA,21461010,32,75,33.5,.510,.837,8.5,2.0,0.6,1.2,23.1,SAS,7,6,13,23,20,20,18
Cliff Alexander,/players/a/alexacl01.html,2016,2016,University of Kansas,true,"Curie in Chicago, Illinois",-0.47,0.04,alexacl01,2015-16,POR,11.6,0.0,.052,-7.0,0.0,,NBA,525093,20,8,4.5,.500,,0.8,0.0,0.1,0.3,1.3,POR,183,183,183,183,183,183,183
Joe Alexander,/players/a/alexajo01.html,2009,2010,West Virginia University,false,"Hargrave Military Academy in Chatham, Virginia",-0.71,0.76,alexajo01,2008-09,MIL,10.1,0.4,.030,-3.3,-0.2,,NBA,2403120,22,59,12.1,.416,.699,1.9,0.7,0.3,0.5,4.7,MIL,182,182,182,182,182,182,182
Joe Alexander,/players/a/alexajo01.html,2009,2010,West Virginia University,false,"Hargrave Military Academy in Chatham, Virginia",-0.17,0.04,alexajo01,2009-10,CHI,2.8,0.0,.030,-3.7,0.0,,NBA,2583360,23,8,3.6,.167,.667,0.6,0.3,0.1,0.1,0.5,CHI,193,193,193,193,193,193,193
Jarrett Allen,/players/a/allenja01.html,2018,2019,University of Texas at Austin,true,"St. Stephen's Episcopal School in Austin, Texas",-1.21,1.07,allenja01,2017-18,BRK,17.5,4.2,.141,0.2,0.8,,NBA,1713720,19,72,20.0,.589,.776,5.4,0.7,0.4,1.2,8.2,BRK,189,189,189,189,189,189,189
Kadeem Allen,/players/a/allenka01.html,2018,2018,University of Arizona,true,"New Hanover in Wilmington, North Carolina",-0.87,0.10,allenka01,2017-18,BOS,2.6,-0.1,-0.039,-6.4,-0.1,,NBA,,25,18,5.9,.273,.778,0.6,0.7,0.2,0.1,1.1,BOS,189,189,189,189,189,189,189
Lavoy Allen,/players/a/allenla01.html,2012,2017,Temple University,true,"Pennsbury in Fairless Hills, Pennsylvania",+0.92,1.90,allenla01,2011-12,PHI,12.7,1.6,.124,-1.3,0.1,,NBA,473604,22,41,15.2,.473,.786,4.2,0.8,0.3,0.4,4.1,PHI,192,192,192,192,192,192,192
Lavoy Allen,/players/a/allenla01.html,2012,2017,Temple University,true,"Pennsbury in Fairless Hills, Pennsylvania",-1.62,0.67,allenla01,2012-13,PHI,11.5,2.5,.072,-2.6,-0.3,,NBA,3000000,23,79,21.1,.454,.717,5.0,0.9,0.3,0.7,5.8,PHI,162,158,149,173,172,158,159
Lavoy Allen,/players/a/allenla01.html,2012,2017,Temple University,true,"Pennsbury in Fairless Hills, Pennsylvania",-2.36,-0.12,allenla01,2013-14,TOT,12.5,1.5,.066,-2.8,-0.2,,NBA,3060000,24,65,16.5,.447,.660,4.8,1.1,0.4,0.5,4.7,"PHI,IND",187,187,187,187,187,187,187
Lavoy Allen,/players/a/allenla01.html,2012,2017,Temple University,true,"Pennsbury in Fairless Hills, Pennsylvania",+0.87,2.29,allenla01,2014-15,IND,14.9,2.8,.127,0.8,0.8,,NBA,948163,25,63,17.0,.472,.702,5.1,1.2,0.2,0.7,5.0,IND,183,183,183,183,183,183,183
Lavoy Allen,/players/a/allenla01.html,2012,2017,Temple University,true,"Pennsbury in Fairless Hills, Pennsylvania",-0.16,2.36,allenla01,2015-16,IND,12.4,3.7,.110,-0.6,0.6,,NBA,3700000,26,79,20.2,.516,.630,5.4,1.0,0.3,0.5,5.4,IND,143,121,87,129,129,103,120
Lavoy Allen,/players/a/allenla01.html,2012,2017,Temple University,true,"Pennsbury in Fairless Hills, Pennsylvania",-3.20,-0.50,allenla01,2016-17,IND,11.6,1.7,.093,-0.3,0.4,,NBA,4000000,27,61,14.3,.458,.697,3.6,0.9,0.3,0.4,2.9,IND,187,187,187,187,187,187,187
Tony Allen,/players/a/allento01.html,2005,2018,"Butler County Community College, Oklahoma State University",true,"Crane Technical Preparatory in Chicago, Illinois",+0.70,2.71,allento01,2004-05,BOS,14.7,2.7,.103,-0.1,0.6,,NBA,901920,23,77,16.4,.475,.737,2.9,0.8,1.0,0.3,6.4,BOS,178,178,178,178,178,178,178
Tony Allen,/players/a/allento01.html,2005,2018,"Butler County Community College, Oklahoma State University",true,"Crane Technical Preparatory in Chicago, Illinois",-1.33,0.60,allento01,2005-06,BOS,12.9,1.7,.082,-1.4,0.2,,NBA,969696,24,51,19.2,.471,.746,2.2,1.3,1.0,0.4,7.2,BOS,181,181,181,181,181,181,181
Tony Allen,/players/a/allento01.html,2005,2018,"Butler County Community College, Oklahoma State University",true,"Crane Technical Preparatory in Chicago, Illinois",+0.32,1.42,allento01,2006-07,BOS,17.0,1.9,.111,1.1,0.6,,NBA,1037280,25,33,24.4,.514,.784,3.8,1.7,1.5,0.4,11.5,BOS,193,193,193,193,193,193,193
