link,name,college,Rk,Year,Rd,Pk
/players/b/benjaco01.html,Corey Benjamin,Oregon State University,28,1998,1,28
/players/m/mohamna01.html,Nazr Mohammed,University of Kentucky,29,1998,1,29
/players/s/sesayan01.html,Ansu Sesay,University of Mississippi,30,1998,2,30
/players/p/patteru01.html,Ruben Patterson,University of Cincinnati,31,1998,2,31
/players/l/lewisra02.html,Rashard Lewis,,32,1998,2,32
/players/m/mccoyje01.html,Jelani McCoy,"University of California, Los Angeles",33,1998,2,33
/players/w/willish01.html,Shammond Williams,University of North Carolina,34,1998,2,34
/players/s/sundobr01.html,Bruno Sundov,,35,1998,2,35
/players/j/jamesje01.html,Jerome James,Florida Agricultural and Mechanical University,36,1998,2,36
/players/s/shawca01.html,Casey Shaw,University of Toledo,37,1998,2,37
/players/j/johnsde02.html,DeMarco Johnson,University of North Carolina at Charlotte,38,1998,2,38
/players/a/alstora01.html,Rafer Alston,"California State University, Fresno",39,1998,2,39
/players/y/youngko01.html,Korleone Young,,40,1998,2,40
/players/m/moblecu01.html,Cuttino Mobley,University of Rhode Island,41,1998,2,41
/players/s/simonmi01.html,Miles Simon,University of Arizona,42,1998,2,42
/players/w/whiteja01.html,Jahidi White,Georgetown University,43,1998,2,43
/players/m/marksse01.html,Sean Marks,University of California,44,1998,2,44
/players/b/baileto01.html,Toby Bailey,"University of California, Los Angeles",45,1998,2,45
/players/p/pattean01.html,Andrae Patterson,Indiana University,46,1998,2,46
/players/w/wheelty01.html,Tyson Wheeler,University of Rhode Island,47,1998,2,47
/players/s/stackry01.html,Ryan Stack,University of South Carolina,48,1998,2,48
/players/c/carrco01.html,Cory Carr,Texas Tech University,49,1998,2,49
,Andrew Betts,"California State University, Long Beach",50,1998,2,50
,Corey Brewer,University of Oklahoma,51,1998,2,51
/players/d/dialde01.html,Derrick Dial,Eastern Michigan University,52,1998,2,52
/players/b/buckngr01.html,Greg Buckner,Clemson University,53,1998,2,53
/players/f/fowlktr01.html,Tremaine Fowlkes,"California State University, Fresno",54,1998,2,54
/players/b/bowenry01.html,Ryan Bowen,University of Iowa,55,1998,2,55
/players/h/hendejr01.html,J.R. Henderson,"University of California, Los Angeles",56,1998,2,56
/players/b/braggto01.html,Torraye Braggs,Xavier University,57,1998,2,57
/players/b/bastoma01.html,Maceo Baston,University of Michigan,58,1998,2,58
/players/b/brandel01.html,Elton Brand,Duke University,1,1999,1,1
/players/f/francst01.html,Steve Francis,University of Maryland,2,1999,1,2
/players/d/davisba01.html,Baron Davis,"University of California, Los Angeles",3,1999,1,3
/players/o/odomla01.html,Lamar Odom,University of Rhode Island,4,1999,1,4
/players/b/bendejo01.html,Jonathan Bender,,5,1999,1,5
/players/s/szczewa02.html,Wally Szczerbiak,Miami University,6,1999,1,6
/players/h/hamilri01.html,Richard Hamilton,University of Connecticut,7,1999,1,7
/players/m/millean02.html,Andre Miller,University of Utah,8,1999,1,8
/players/m/mariosh01.html,Shawn Marion,"University of Nevada, Las Vegas",9,1999,1,9
/players/t/terryja01.html,Jason Terry,University of Arizona,10,1999,1,10
/players/l/langdtr01.html,Trajan Langdon,Duke University,11,1999,1,11
/players/r/radojal01.html,Aleksandar Radojevic,Barton County Community College,12,1999,1,12
/players/m/maggeco01.html,Corey Maggette,Duke University,13,1999,1,13
/players/a/averywi01.html,William Avery,Duke University,14,1999,1,14
,Frederic Weis,,15,1999,1,15
/players/a/artesro01.html,Metta World Peace,St. John's University,16,1999,1,16
/players/b/bowdlca01.html,Cal Bowdler,Old Dominion University,17,1999,1,17
/players/p/poseyja01.html,James Posey,Xavier University,18,1999,1,18
/players/l/lewisqu01.html,Quincy Lewis,University of Minnesota,19,1999,1,19
/players/g/glovedi01.html,Dion Glover,Georgia Institute of Technology,20,1999,1,20
/players/f/fosteje01.html,Jeff Foster,Texas State University,21,1999,1,21
/players/t/thomake01.html,Kenny Thomas,University of New Mexico,22,1999,1,22
/players/g/georgde01.html,Devean George,Augsburg College,23,1999,1,23
/players/k/kirilan01.html,Andrei Kirilenko,,24,1999,1,24
/players/j/jamesti01.html,Tim James,University of Miami,25,1999,1,25
/players/c/cummivo01.html,Vonteego Cummings,University of Pittsburgh,26,1999,1,26
/players/j/jonesju01.html,Jumaine Jones,University of Georgia,27,1999,1,27
/players/p/padgesc01.html,Scott Padgett,University of Kentucky,28,1999,1,28
/players/s/smithle01.html,Leon Smith,,29,1999,1,29
/players/c/celesjo01.html,John Celestand,Villanova University,30,1999,2,30
,Rico Hill,Illinois State University,31,1999,2,31
/players/r/ruffimi01.html,Michael Ruffin,University of Tulsa,32,1999,2,32
/players/h/herrech01.html,Chris Herren,"California State University, Fresno",33,1999,2,33
/players/e/eschmev01.html,Evan Eschmeyer,Northwestern University,34,1999,2,34
/players/b/boothca01.html,Calvin Booth,Pennsylvania State University,35,1999,2,35
/players/z/zhizhwa01.html,Wang Zhizhi,,36,1999,2,36
/players/e/ekeziob01.html,Obinna Ekezie,University of Maryland,37,1999,2,37
/players/p/profila01.html,Laron Profit,University of Maryland,38,1999,2,38
/players/b/bramlaj01.html,A.J. Bramlett,University of Arizona,39,1999,2,39
/players/g/giricgo01.html,Gordan Giricek,,40,1999,2,40
/players/e/elsonfr01.html,Francisco Elson,University of California,41,1999,2,41
,Louis Bullock,University of Michigan,42,1999,2,42
/players/n/nailole01.html,Lee Nailon,Texas Christian University,43,1999,2,43
,Tyrone Washington,Mississippi State University,44,1999,2,44
/players/r/roberry01.html,Ryan Robertson,University of Kansas,45,1999,2,45
,J.R. Koch,University of Iowa,46,1999,2,46
/players/m/maccuto01.html,Todd MacCulloch,University of Washington,47,1999,2,47
,Galen Young,University of North Carolina at Charlotte,48,1999,2,48
/players/k/ketnela01.html,Lari Ketner,University of Massachusetts Amherst,49,1999,2,49
/players/h/hamilve01.html,Venson Hamilton,University of Nebraska,50,1999,2,50
,Antwain Smith,Saint Paul's College,51,1999,2,51
,Roberto Bergersen,Boise State University,52,1999,2,52
/players/b/buforro01.html,Rodney Buford,Creighton University,53,1999,2,53
,Melvin Levett,University of Cincinnati,54,1999,2,54
,Kris Clack,University of Texas at Austin,55,1999,2,55
/players/y/youngti01.html,Tim Young,Stanford University,56,1999,2,56
/players/g/ginobma01.html,Manu Ginobili,,57,1999,2,57
,Eddie Lucas,Virginia Polytechnic Institute and State University,58,1999,2,58
/players/m/martike01.html,Kenyon Martin,University of Cincinnati,1,2000,1,1
/players/s/swiftst01.html,Stromile Swift,Louisiana State University,2,2000,1,2
/players/m/milesda01.html,Darius Miles,,3,2000,1,3
/players/f/fizerma01.html,Marcus Fizer,Iowa State University,4,2000,1,4
/players/m/millemi01.html,Mike Miller,University of Florida,5,2000,1,5
/players/j/johnsde03.html,DerMarr Johnson,University of Cincinnati,6,2000,1,6
/players/m/mihmch01.html,Chris Mihm,University of Texas at Austin,7,2000,1,7
/players/c/crawfja01.html,Jamal Crawford,University of Michigan,8,2000,1,8
/players/p/przybjo01.html,Joel Przybilla,University of Minnesota,9,2000,1,9
/players/d/doolike01.html,Keyon Dooling,University of Missouri,10,2000,1,10
/players/m/moisoje01.html,Jerome Moiso,"University of California, Los Angeles",11,2000,1,11
/players/t/thomaet01.html,Etan Thomas,Syracuse University,12,2000,1,12
/players/a/alexaco02.html,Courtney Alexander,"California State University, Fresno",13,2000,1,13
/players/c/cleavma01.html,Mateen Cleaves,Michigan State University,14,2000,1,14
/players/c/collija02.html,Jason Collier,Georgia Institute of Technology,15,2000,1,15
/players/t/turkohe01.html,Hedo Turkoglu,,16,2000,1,16
/players/m/masonde01.html,Desmond Mason,Oklahoma State University,17,2000,1,17
/players/r/richaqu01.html,Quentin Richardson,DePaul University,18,2000,1,18
/players/m/magloja01.html,Jamaal Magloire,University of Kentucky,19,2000,1,19
/players/c/claxtsp01.html,Speedy Claxton,Hofstra University,20,2000,1,20
/players/p/petermo01.html,Morris Peterson,Michigan State University,21,2000,1,21
/players/h/harvedo01.html,Donnell Harvey,University of Florida,22,2000,1,22
/players/s/stevede01.html,DeShawn Stevenson,,23,2000,1,23
/players/b/bagarda01.html,Dalibor Bagaric,,24,2000,1,24
/players/t/tsakaja01.html,Jake Tsakalidis,,25,2000,1,25
/players/n/ndiayma02.html,Mamadou N'Diaye,Auburn University,26,2000,1,26
/players/b/brezepr01.html,Primoz Brezec,,27,2000,1,27
/players/b/barkler01.html,Erick Barkley,St. John's University,28,2000,1,28
/players/m/madsema01.html,Mark Madsen,Stanford University,29,2000,1,29
/players/j/jaricma01.html,Marko Jaric,,30,2000,2,30
/players/l/langhda01.html,Dan Langhi,Vanderbilt University,31,2000,2,31
/players/g/guytoaj01.html,A.J. Guyton,Indiana University,32,2000,2,32
/players/v/voskuja01.html,Jake Voskuhl,University of Connecticut,33,2000,2,33
/players/e/elamikh01.html,Khalid El-Amin,University of Connecticut,34,2000,2,34
/players/s/smithmi03.html,Mike Smith,University of Louisiana at Monroe,35,2000,2,35
/players/s/samakso01.html,Soumaila Samake,,36,2000,2,36
/players/h/houseed01.html,Eddie House,Arizona State University,37,2000,2,37
/players/n/najered01.html,Eduardo Najera,University of Oklahoma,38,2000,2,38
/players/p/postela01.html,Lavor Postell,St. John's University,39,2000,2,39
