name,link,rank,draft_year,draft_rd,draft_pk,college,recruit_year,bbrID,pick_overall,pick_number,pick_round,nba_median_vorp_rank,nba_mean_vorp_rank,nba_median_pipm_rank,nba_mean_pipm_rank,valid_seasons
Kris Lang,https://www.sports-reference.com/cbb/players/kris-lang-1.html,22,,,,University of North Carolina,1998,,,,,,,,,
Anthony Glover,https://www.sports-reference.com/cbb/players/anthony-glover-1.html,23,,,,St. John's University,1998,,,,,,,,,
Lance Williams,https://www.sports-reference.com/cbb/players/lance-williams-1.html,24,,,,DePaul University,1998,,,,,,,,,
Adam Harrington,/players/h/harriad01.html,25,,,,Auburn University,1998,harriad01,,,,,,,,0
Bobby Simmons,/players/s/simmobo01.html,26,2001,2,42,DePaul University,1998,simmobo01,41,42,2,78.5,94.75,76.5,86.25,4
Dan Miller,https://www.sports-reference.com/cbb/players/dan-miller-1.html,27,,,,University of Notre Dame,1998,,,,,,,,,
Lloyd Price,https://www.sports-reference.com/cbb/players/lloyd-price-1.html,28,,,,Xavier University,1998,,,,,,,,,
Michael Wright,https://www.sports-reference.com/cbb/players/michael-wright-1.html,29,,,,University of Arizona,1998,,,,,,,,,
Erick Barkley,/players/b/barkler01.html,29,2000,1,28,St. John's University,1998,barkler01,28,28,1,,,,,0
Jules Camara,https://www.sports-reference.com/cbb/players/jules-camara-1.html,31,,,,University of Kentucky,1998,,,,,,,,,
Antonio Latimer,,32,1998,,,,1998,,50,50,2,,,,,
Robert Jackson,https://www.sports-reference.com/cbb/players/robert-jackson-1.html,33,,,,Marquette University,1998,,,,,,,,,
Richard Jefferson,/players/j/jefferi01.html,33,2001,1,13,University of Arizona,1998,jefferi01,13,13,1,87.5,90.25,105.5,94.83333333333333,12
B.B. Waldon,https://www.sports-reference.com/cbb/players/bb-waldon-1.html,35,,,,University of South Florida,1998,,,,,,,,,
Doug Wrenn,https://www.sports-reference.com/cbb/players/doug-wrenn-1.html,36,,,,University of Washington,1998,,,,,,,,,
